prod_id,cat_id
MPE439764567,MPE8475
MPE426229613,MPE8475
MPE435496737,MPE8475
MPE419652275,MPE8475
MPE438010776,MPE8475
MPE439640351,MPE8475
MPE437211176,MPE8475
MPE422689711,MPE8475
MPE427190351,MPE8475
MPE439449016,MPE8475
MPE430634240,MPE8475
MPE420149184,MPE8475
MPE423866223,MPE8475
MPE425805598,MPE8475
MPE436392066,MPE8475
MPE439226925,MPE8475
MPE431325039,MPE8475
MPE420863959,MPE8475
MPE438405118,MPE8475
MPE440009080,MPE8475
MPE435291695,MPE8475
MPE419837777,MPE8475
MPE439227260,MPE125270
MPE435105834,MPE125270
MPE438827493,MPE125270
MPE432269452,MPE125270
MPE435095456,MPE125270
MPE427596887,MPE125270
MPE432938847,MPE125270
MPE427618164,MPE125270
MPE427618971,MPE125270
MPE427597449,MPE125270
MPE427596698,MPE125270
MPE432938635,MPE125270
MPE440774547,MPE125270
MPE427599706,MPE125270
MPE432938655,MPE125270
MPE431158152,MPE125270
MPE440438686,MPE125270
MPE440526682,MPE125270
MPE432937743,MPE125270
MPE432937803,MPE125270
MPE432935864,MPE125270
MPE436881686,MPE125270
MPE427597145,MPE125270
MPE427598609,MPE125270
MPE427598635,MPE125270
MPE432935831,MPE125270
MPE427617934,MPE125270
MPE427691986,MPE125270
MPE435574169,MPE125270
MPE437282097,MPE125270
MPE437094633,MPE125270
MPE432935878,MPE125270
MPE427596751,MPE125270
MPE427596734,MPE125270
MPE427596831,MPE125270
MPE437436469,MPE125270
MPE427597420,MPE125270
MPE427597474,MPE125270
MPE427596850,MPE125270
MPE427599694,MPE125270
MPE433178980,MPE125270
MPE438295599,MPE125270
MPE427691973,MPE125270
MPE427618148,MPE125270
MPE435847133,MPE125270
MPE432937836,MPE125270
MPE427691893,MPE125270
MPE432937708,MPE125270
MPE427596853,MPE125270
MPE432937519,MPE125270
MPE435570074,MPE74130
MPE422140438,MPE74130
MPE436129408,MPE74130
MPE438574450,MPE74130
MPE439640351,MPE74130
MPE439764567,MPE74130
MPE425805598,MPE74130
MPE435291695,MPE74130
MPE435530870,MPE74130
MPE439640330,MPE74130
MPE433443530,MPE74130
MPE427973598,MPE74130
MPE435291664,MPE74130
MPE438675228,MPE74130
MPE440125700,MPE74130
MPE432941760,MPE74130
MPE440682603,MPE74130
MPE438834667,MPE74130
MPE439707971,MPE74130
MPE439707999,MPE74130
MPE439707934,MPE74130
MPE439707993,MPE74130
MPE427468185,MPE74130
MPE439707989,MPE74130
